iter	Passed	Remaining
419	964	1331
420	966	1328
421	967	1325
422	969	1322
423	971	1319
424	973	1316
425	981	1322
426	983	1319
427	985	1316
428	986	1313
429	988	1309
430	989	1306
431	990	1301
432	991	1298
433	992	1294
434	994	1291
435	995	1288
436	997	1284
437	998	1281
438	1000	1278
439	1001	1274
440	1002	1271
441	1004	1267
442	1005	1264
443	1007	1261
444	1008	1257
445	1010	1254
446	1011	1251
447	1012	1248
448	1014	1244
449	1015	1241
450	1016	1237
451	1018	1234
452	1019	1231
453	1021	1228
454	1022	1224
455	1023	1221
456	1025	1218
457	1026	1215
458	1028	1211
459	1029	1208
460	1030	1205
461	1032	1202
462	1033	1199
463	1035	1196
464	1036	1192
465	1038	1189
466	1039	1186
467	1041	1183
468	1042	1180
469	1044	1177
470	1045	1173
471	1046	1170
472	1047	1167
473	1049	1164
474	1051	1161
475	1052	1158
476	1053	1155
477	1055	1152
478	1056	1149
479	1074	1163
480	1075	1160
481	1076	1157
482	1078	1154
483	1079	1150
484	1080	1147
485	1082	1144
486	1083	1141
487	1085	1138
488	1086	1135
489	1088	1132
490	1089	1129
491	1090	1126
492	1092	1123
493	1093	1120
494	1094	1116
495	1096	1113
496	1097	1111
497	1099	1108
498	1101	1105
499	1102	1102
500	1104	1099
501	1105	1096
502	1107	1094
503	1108	1091
504	1110	1088
505	1111	1085
506	1113	1082
507	1115	1080
508	1116	1077
509	1118	1074
510	1120	1072
511	1121	1069
512	1139	1081
513	1141	1079
514	1142	1076
515	1144	1073
516	1145	1070
517	1147	1067
518	1148	1064
519	1150	1061
520	1152	1059
521	1153	1056
522	1155	1053
523	1156	1050
524	1158	1047
525	1159	1045
526	1161	1042
527	1162	1039
528	1163	1036
529	1165	1033
530	1167	1030
531	1168	1027
532	1169	1025
533	1171	1022
534	1172	1019
535	1174	1016
536	1175	1013
537	1176	1010
538	1178	1007
539	1179	1005
540	1181	1002
541	1183	999
542	1184	996
543	1185	994
544	1187	991
545	1188	988
546	1190	985
547	1191	983
548	1193	980
549	1194	977
550	1195	974
551	1197	971
552	1198	969
553	1200	966
554	1201	963
555	1203	961
556	1205	958
557	1206	955
558	1207	952
559	1209	950
560	1210	947
561	1212	944
562	1213	941
563	1214	939
564	1216	936
565	1217	933
566	1219	931
567	1220	928
568	1222	925
569	1223	923
570	1225	920
571	1226	917
572	1228	915
573	1229	912
574	1231	910
575	1232	907
576	1234	904
577	1235	902
578	1237	899
579	1238	896
580	1240	894
581	1241	891
582	1243	889
583	1243	886
584	1245	883
585	1246	880
586	1248	878
587	1255	879
588	1257	877
589	1259	875
590	1260	872
591	1262	869
592	1263	867
593	1265	864
594	1266	862
595	1268	859
596	1269	857
597	1270	854
598	1272	851
599	1273	849
600	1275	846
601	1277	844
602	1278	841
603	1280	839
604	1281	836
605	1283	834
606	1284	831
607	1293	833
608	1295	831
609	1296	829
610	1298	826
611	1308	829
612	1322	834
613	1324	832
614	1325	829
615	1327	827
616	1338	830
617	1356	838
618	1357	835
619	1367	838
620	1381	843
621	1383	840
622	1385	838
623	1387	835
624	1388	833
625	1410	842
626	1412	839
627	1413	837
628	1414	834
629	1416	831
630	1423	832
631	1425	829
632	1426	826
633	1427	824
634	1429	821
635	1431	819
636	1432	816
637	1434	813
638	1435	810
639	1436	808
640	1438	805
641	1439	802
642	1441	800
643	1442	797
644	1466	807
645	1467	804
646	1469	801
647	1470	798
648	1472	796
649	1473	793
650	1474	790
651	1476	787
652	1477	785
653	1479	782
654	1480	779
655	1482	777
656	1483	774
657	1485	771
658	1486	769
659	1487	766
660	1489	763
661	1490	761
662	1492	758
663	1505	761
664	1506	758
665	1507	756
666	1509	753
667	1510	750
668	1512	748
669	1513	745
670	1515	742
671	1516	740
672	1518	737
673	1520	735
674	1521	732
675	1523	730
676	1524	727
677	1525	724
678	1527	722
679	1528	719
680	1530	716
681	1531	714
682	1533	711
683	1534	709
684	1536	706
685	1537	703
686	1539	701
687	1541	698
688	1542	696
689	1544	693
690	1545	691
691	1547	688
692	1548	686
693	1550	683
694	1551	680
695	1569	685
696	1585	689
697	1599	692
698	1600	689
699	1602	686
700	1614	688
701	1615	685
702	1616	683
703	1618	680
704	1619	677
705	1621	675
706	1624	673
707	1625	670
708	1643	674
709	1645	672
710	1659	674
711	1660	671
712	1661	668
713	1663	666
714	1664	663
715	1666	660
716	1667	658
717	1669	655
718	1688	659
719	1689	656
720	1690	654
721	1691	651
722	1693	648
723	1694	645
724	1695	643
725	1696	640
726	1698	637
727	1699	634
728	1700	632
729	1702	629
730	1703	626
731	1704	624
732	1706	621
733	1707	618
734	1708	615
735	1709	613
736	1710	610
737	1712	607
738	1713	605
739	1715	602
740	1716	599
741	1717	597
742	1719	594
743	1720	592
744	1721	589
745	1723	586
746	1724	584
747	1725	581
748	1727	578
749	1728	576
750	1729	573
751	1731	570
752	1732	568
753	1734	565
754	1735	563
755	1736	560
756	1738	557
757	1739	555
758	1741	552
759	1742	550
760	1744	547
761	1746	545
762	1747	542
763	1749	540
764	1751	537
765	1752	535
766	1754	532
767	1755	530
768	1757	527
769	1758	525
770	1760	522
771	1761	520
772	1762	517
773	1764	515
774	1765	512
775	1766	509
776	1768	507
777	1769	504
778	1770	502
779	1772	499
780	1773	497
781	1774	494
782	1775	492
783	1777	489
784	1778	487
785	1779	484
786	1791	484
787	1792	482
788	1793	479
789	1795	477
790	1806	477
791	1807	474
792	1809	472
793	1810	469
794	1811	467
795	1813	464
796	1814	462
797	1815	459
798	1816	457
799	1818	454
800	1819	452
801	1821	449
802	1822	447
803	1824	444
804	1825	442
805	1826	439
806	1833	438
807	1834	435
808	1836	433
809	1837	430
810	1838	428
811	1847	427
812	1849	425
813	1850	422
814	1852	420
815	1853	417
816	1854	415
817	1855	412
818	1857	410
819	1858	407
820	1864	406
821	1865	404
822	1867	401
823	1868	399
824	1869	396
825	1870	394
826	1872	391
827	1873	389
828	1874	386
829	1875	384
830	1877	381
831	1878	379
832	1879	376
833	1880	374
834	1882	371
835	1883	369
836	1884	367
837	1886	364
838	1887	362
839	1888	359
840	1890	357
841	1891	354
842	1892	352
843	1893	350
844	1895	347
845	1896	345
846	1897	342
847	1898	340
848	1900	337
849	1901	335
850	1903	333
851	1904	330
852	1906	328
853	1907	326
854	1909	323
855	1910	321
856	1912	319
857	1928	319
858	1930	316
859	1931	314
860	1933	312
861	1934	309
862	1935	307
863	1937	304
864	1938	302
865	1940	300
866	1941	297
867	1942	295
868	1944	293
869	1945	290
870	1946	288
871	1948	285
872	1955	284
873	1957	282
874	1970	281
875	1972	279
876	1973	276
877	1974	274
878	1976	272
879	1977	269
880	1978	267
881	1980	264
882	1981	262
883	1983	260
884	1984	257
885	1986	255
886	1987	253
887	1988	250
888	1989	248
889	1991	246
890	1992	243
891	1993	241
892	2011	241
893	2013	238
894	2014	236
895	2016	234
896	2017	231
897	2018	229
898	2019	226
899	2021	224
900	2022	222
901	2039	221
902	2041	219
903	2042	216
904	2044	214
905	2045	212
906	2046	209
907	2047	207
908	2049	205
909	2050	202
910	2051	200
911	2067	199
912	2069	197
913	2071	194
914	2072	192
915	2074	190
916	2082	188
917	2083	186
918	2085	183
919	2086	181
920	2087	179
921	2089	176
922	2090	174
923	2092	172
924	2093	169
925	2095	167
926	2096	165
927	2097	162
928	2099	160
929	2100	158
930	2101	155
931	2103	153
932	2104	151
933	2105	148
934	2122	147
935	2124	145
936	2126	142
937	2127	140
938	2129	138
939	2130	136
940	2132	133
941	2133	131
942	2135	129
943	2136	126
944	2138	124
945	2139	122
946	2140	119
947	2141	117
948	2142	115
949	2144	112
950	2145	110
951	2146	108
952	2163	106
953	2164	104
954	2165	102
955	2167	99
956	2168	97
957	2170	95
958	2171	92
959	2173	90
960	2174	88
961	2176	85
962	2177	83
963	2178	81
964	2179	79
965	2181	76
966	2182	74
967	2183	72
968	2185	69
969	2186	67
970	2187	65
971	2188	63
972	2190	60
973	2191	58
974	2192	56
975	2194	53
976	2195	51
977	2196	49
978	2197	47
979	2199	44
980	2200	42
981	2202	40
982	2203	38
983	2204	35
984	2205	33
985	2206	31
986	2208	29
987	2209	26
988	2210	24
989	2211	22
990	2213	20
991	2214	17
992	2215	15
993	2217	13
994	2231	11
995	2233	8
996	2234	6
997	2236	4
998	2245	2
999	2246	0
